id,name,neighbourhood,neighbourhood_cleansed,room_type,price,latitude,longitude
1944,bright & airy Pberg/Mitte 3 months or more,"Berlin, Germany",Brunnenstr. Nord,Private room,$20.00,52.54425,13.39749
2015,Berlin-Mitte Value! Quiet courtyard/very central,"Berlin, Germany",Brunnenstr. Süd,Entire home/apt,$59.00,52.53454,13.40256
3176,Fabulous Flat in great Location,"Berlin, Germany",Prenzlauer Berg Südwest,Entire home/apt,$90.00,52.535,13.41758
3309,BerlinSpot Schöneberg near KaDeWe,"Berlin, Germany",Schöneberg-Nord,Private room,$29.00,52.49885,13.34906
6883,Stylish East Side Loft in Center with AC & 2 bikes,"Berlin, Germany",Frankfurter Allee Süd FK,Entire home/apt,$79.00,52.51171,13.454770000000002
7071,BrightRoom with sunny greenview!,"Berlin, Germany",Helmholtzplatz,Private room,$33.00,52.54316,13.41509
9991,Geourgeous flat - outstanding views,"Berlin, Germany",Prenzlauer Berg Südwest,Entire home/apt,$180.00,52.53303,13.41605
14325,Apartment in Prenzlauer Berg,,Prenzlauer Berg Nordwest,Entire home/apt,$70.00,52.54785,13.40556
16644,In the Heart of Berlin - Kreuzberg,"Berlin, Germany",nördliche Luisenstadt,Entire home/apt,$90.00,52.50479,13.4351
17904,Beautiful Kreuzberg studio/fast WiFi,,südliche Luisenstadt,Entire home/apt,$49.00,52.49578,13.42194
20858,Designer Loft in Berlin Mitte,"Berlin, Germany",Prenzlauer Berg Südwest,Entire home/apt,$159.00,52.53695,13.40762
21869,Studio in the Heart of Kreuzberg,"Berlin, Germany",nördliche Luisenstadt,Entire home/apt,$70.00,52.50273000000001,13.43462
22438,WOHNUNG IN BERLIN ★ MITTE,,Brunnenstr. Nord,Entire home/apt,$65.00,52.53445,13.388370000000002
22677,Prenzel garden with leafy terrace (quiet Guests),"Berlin, Germany",Brunnenstr. Süd,Entire home/apt,$160.00,52.53435,13.40558
23834,Apartment in the heart of Berlin,"Berlin, Germany",Tempelhofer Vorstadt,Entire home/apt,$65.00,52.48971,13.37975
24569,Sunny & Wheelchair accessible,,Prenzlauer Berg Südwest,Entire home/apt,$211.00,52.53079,13.418079999999998
25653,Sunny & stylish 150 sqm apartment,,Prenzlauer Berg Süd,Entire home/apt,$90.00,52.53026,13.41947
28156,Beautiful apartment in Prenzlauer Berg,,Prenzlauer Berg Nordwest,Entire home/apt,$80.00,52.54671999999999,13.405120000000002
29279,Quiet 2 rooms next Helmholtzplatz,"Berlin, Germany",Helmholtzplatz,Entire home/apt,$80.00,52.54179,13.42388
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,,Helmholtzplatz,Entire home/apt,$124.00,52.54597,13.42236
33043,Central Bright Bellevue Free Parking WIFI 4G,,Moabit Ost,Entire home/apt,$62.00,52.52195,13.3559
33728,Kurfürstendamm-Apartment with Wifi from 15. March,,Halensee,Entire home/apt,$27.00,52.49717,13.30405
35152,Private Room w/ own bath in Design Mitte Loft,"Berlin, Germany",Brunnenstr. Süd,Private room,$75.00,52.53506,13.39699
36480,ChimaysaberlinB&B Single Bedroom,"Berlin, Germany",Otto-Suhr-Allee,Private room,$35.00,52.51968000000001,13.30209
37004,WONDERFUL ROOM for a bubble in Berlin Central,"Berlin, Germany",Schöneberg-Nord,Private room,$35.00,52.49376,13.36408
37836,Weekend in Berlin Party Center - II,"Berlin, Germany",südliche Luisenstadt,Private room,$40.00,52.49847,13.440129999999998
38074,3 months min stay in the heart of Prenzlauer Berg!,"Berlin, Germany",Prenzlauer Berg Süd,Entire home/apt,$84.00,52.537130000000005,13.424729999999998
40600,room-artist loft berlin kreuzberg,,Tempelhofer Vorstadt,Private room,$53.00,52.48844,13.4206
41217,Beautiful room,"Berlin, Germany",Prenzlauer Berg Südwest,Private room,$43.00,52.53641,13.41231
41306,"Schöner Altbau, 6 min zum Alexanderpatz.","Berlin, Germany",Prenzlauer Berg Süd,Private room,$49.00,52.530280000000005,13.42348
42742,Spacious 35m2 in Central Apartment,"Berlin, Germany",südliche Luisenstadt,Private room,$37.00,52.49667,13.44034
42809,The Berlin Artist Apartment.,"Berlin, Germany",Frankfurter Allee Süd FK,Entire home/apt,$119.00,52.51099,13.45642
44083,Riverside View Apartment,,Alt  Treptow,Private room,$42.00,52.4904,13.44085
44423,Lovely accommodation in Berlin,"Berlin, Germany",Frankfurter Allee Süd FK,Private room,$56.00,52.508880000000005,13.45636
47938,Lovely 2 BR flat in Prenzlauer Berg,,Prenzlauer Berg Südwest,Entire home/apt,$169.00,52.53219,13.41988
54952,Riverfront Panorama,"Berlin, Germany",Alexanderplatz,Private room,$45.00,52.52264,13.3881
55853,Hauptstadt-Domizil,,Neue Kantstraße,Entire home/apt,$58.00,52.5034,13.29203
57049,130 sqm with a view on Mauer Park,"Berlin, Germany",Prenzlauer Berg Nordwest,Entire home/apt,$230.00,52.54787,13.40417
57209,Top apartment in Mitte-Arkonaplatz,"Berlin, Germany",Brunnenstr. Süd,Entire home/apt,$81.00,52.53683,13.398970000000002
58041,Apt. in a historic ambience+Wifi from,,Alexanderplatz,Entire home/apt,$50.00,52.52771,13.3909
58780,light quiet beautiful 4 room flat,,Prenzlauer Berg Süd,Entire home/apt,$118.00,52.5342,13.42671
62613,Super Apartment in Berlin/Kreuzberg,,südliche Luisenstadt,Entire home/apt,$85.00,52.49729,13.42297
63052,"Beautiful, quiet, clean & central.",,Neuköllner Mitte/Zentrum,Private room,$40.00,52.46892,13.43454
64014,"Rooftop apt. w/ grand view, 2 bedrooms,2 bathrooms","Berlin, Germany",Prenzlauer Berg Nordwest,Entire home/apt,$154.00,52.54076,13.4043
64590,Great apt. w. balcony directly on the canal!,,südliche Luisenstadt,Entire home/apt,$118.00,52.49519,13.423979999999998
68142,Cute sunny room in Friedrichshain,"Berlin, Germany",Frankfurter Allee Nord,Private room,$29.00,52.52489,13.45386
68448,Quiet studio in Prenzlauer Berg near Mauerpark,"Berlin, Germany",Prenzlauer Berg Nord,Entire home/apt,$60.00,52.5498,13.41596
72079,"Italian Design at Kudamm ,WiFi DSL free","Berlin, Germany",Kantstraße,Entire home/apt,$83.00,52.5078,13.31871
74614,City apartment in Prenzlauer Berg,"Berlin, Germany",Prenzlauer Berg Südwest,Entire home/apt,$280.00,52.5377,13.40854
80843,Berlin City Studio Apt.,"Berlin, Germany",Schmargendorf,Entire home/apt,$49.00,52.48086,13.289979999999998
